city,geo_key,geo_level,str_density,active_listings,entire_home_count,median_nightly_price,p25_price,p75_price,avg_occupancy,total_revenue,breach_count_90,breach_count_60,breach_count_30,reside_unregistered_count,multi_listing_host_count,commercial_host_share,entire_home_share,multi_listing_host_share,active_share,breach_rate_90,breach_rate_60,breach_rate_30,reside_unregistered_share,professional_management_share,tier_concentration_price,tier_sample_adequate,cluster_label,cluster_distance,risk_priority_score,subdivision,breach_rate,listings_impacted_90,listings_impacted_60,listings_impacted_30
london,London Borough of Hammersmith and Fulham,neighborhood,11,6,7,148.25,96.625,185.7,0.0427,53840.0,1,2,3,4,5,0.0,0.6364,0.4545,0.5455,0.1429,0.2857,0.4286,0.5714,0.0,tier_3,True,low_impact,1.538,31.03,London Borough of Hammersmith and Fulham,0.1429,1,2,3
london,Mitcham,subdivision,11,8,7,96.6,90.7,139.25,0.0855,40253.0,1,1,3,1,1,0.0,0.6364,0.0909,0.7273,0.1429,0.1429,0.4286,0.1429,0.2,tier_3,True,low_impact,0.7327,31.03,Mitcham,0.1429,1,1,3
london,Greenford,subdivision,9,7,5,75.45,71.8,104.55,0.1041,53348.0,1,1,3,2,1,0.1111,0.5556,0.1111,0.7778,0.2,0.2,0.6,0.4,0.0,tier_3,True,low_impact,1.0477,30.62,Greenford,0.2,1,1,3
london,Thames View,subdivision,7,5,5,180.0,108.4,201.275,0.1112,61062.0,1,1,1,2,2,0.0,0.7143,0.2857,0.7143,0.2,0.2,0.2,0.4,0.0,tier_3,True,low_impact,1.3309,30.37,Thames View,0.2,1,1,1
london,Spring Grove,subdivision,20,13,11,98.1,70.325,155.5,0.0151,27360.0,0,0,2,8,5,0.1,0.55,0.25,0.65,0.0,0.0,0.1818,0.7273,0.1429,tier_3,True,low_impact,1.0636,29.94,Spring Grove,0.0,0,0,2
london,Perivale,subdivision,12,9,5,80.15,71.6,110.325,0.1056,78852.0,1,1,1,2,3,0.1667,0.4167,0.25,0.75,0.2,0.2,0.2,0.4,0.1429,tier_3,True,low_impact,1.4898,29.93,Perivale,0.2,1,1,1
london,Hackbridge,subdivision,5,2,4,158.9,79.45,161.15,0.189,43531.0,1,1,1,1,0,0.0,0.8,0.0,0.4,0.25,0.25,0.25,0.25,0.0,tier_3,True,emerging,1.9075,29.67,Hackbridge,0.25,1,1,1
london,Mill Hill,subdivision,10,7,5,80.9,65.625,162.75,0.0624,43301.0,1,1,2,2,1,0.1,0.5,0.1,0.7,0.2,0.2,0.4,0.4,0.0,tier_3,True,low_impact,0.8197,29.51,Mill Hill,0.2,1,1,2
london,Greenwich Town Centre,subdivision,13,6,9,151.9,124.125,247.475,0.024,31649.0,0,1,1,6,1,0.0,0.6923,0.0769,0.4615,0.0,0.1111,0.1111,0.6667,0.0,tier_3,True,low_impact,0.926,29.3,Greenwich Town Centre,0.0,0,1,1
london,New Barnet,subdivision,4,1,4,46.6,23.3,69.9,0.0,0.0,0,0,0,4,1,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,tier_3,False,saturated,2.3802,29.21,New Barnet,0.0,0,0,0
london,Colindale,subdivision,21,8,11,100.55,67.625,152.7,0.0,12994.0,0,0,0,7,10,0.0952,0.5238,0.4762,0.381,0.0,0.0,0.0,0.6364,0.0,tier_3,True,low_impact,1.7512,29.03,Colindale,0.0,0,0,0
london,London Borough of Hillingdon,neighborhood,21,14,10,106.6,60.35,133.2,0.083,105071.0,1,2,3,4,2,0.0,0.4762,0.0952,0.6667,0.1,0.2,0.3,0.4,0.0,tier_3,True,low_impact,0.4917,28.53,London Borough of Hillingdon,0.1,1,2,3
london,Charlton Riverside,subdivision,10,7,6,142.55,69.175,241.275,0.0404,24511.0,0,0,1,2,4,0.2,0.6,0.4,0.7,0.0,0.0,0.1667,0.3333,0.0,tier_3,True,saturated,1.6926,28.27,Charlton Riverside,0.0,0,0,1
london,Highams Park,subdivision,16,10,7,86.1,74.2,137.7,0.1589,212402.0,1,2,2,3,3,0.0625,0.4375,0.1875,0.625,0.1429,0.2857,0.2857,0.4286,0.0,tier_3,True,low_impact,1.142,28.27,Highams Park,0.1429,1,2,2
london,Millbank Estate,subdivision,5,2,5,233.8,194.6,258.1,0.0,13723.0,0,1,1,3,2,0.0,1.0,0.4,0.4,0.0,0.2,0.2,0.6,0.0,tier_2,True,low_impact,2.2769,28.27,Millbank Estate,0.0,0,1,1
london,Bexley,subdivision,3,2,1,109.9,82.3,265.7,0.1703,63138.0,1,1,1,0,0,0.0,0.3333,0.0,0.6667,1.0,1.0,1.0,0.0,0.0,tier_3,False,emerging,2.2305,28.08,Bexley,1.0,1,1,1
london,High Barnet,subdivision,3,2,3,185.35,155.675,215.025,0.2945,51558.0,1,1,1,1,0,0.0,1.0,0.0,0.6667,0.3333,0.3333,0.3333,0.3333,0.0,tier_3,False,emerging,2.0008,28.08,High Barnet,0.3333,1,1,1
london,Thamesmead,subdivision,12,9,6,155.1,89.5,183.15,0.0425,57174.0,1,2,2,1,1,0.0,0.5,0.0833,0.75,0.1667,0.3333,0.3333,0.1667,0.0,tier_3,True,low_impact,0.4288,27.52,Thamesmead,0.1667,1,2,2
london,West Drayton,subdivision,12,7,6,72.7,55.5,100.75,0.0522,45008.0,1,2,2,2,2,0.0,0.5,0.1667,0.5833,0.1667,0.3333,0.3333,0.3333,0.0,tier_3,True,low_impact,0.4434,27.52,West Drayton,0.1667,1,2,2
