city,geo_key,geo_level,str_density,active_listings,entire_home_count,median_nightly_price,p25_price,p75_price,avg_occupancy,total_revenue,breach_count_90,breach_count_60,breach_count_30,reside_unregistered_count,multi_listing_host_count,commercial_host_share,entire_home_share,multi_listing_host_share,active_share,breach_rate_90,breach_rate_60,breach_rate_30,reside_unregistered_share,professional_management_share
london,Crayford,subdivision,1,1,0,67.4,67.4,67.4,0.2,6662.0,0,0,0,0,0,0.0,0.0,0.0,1.0,,,,,0.0
london,Cricklewood,subdivision,16,10,13,103.2,84.65,165.05,0.0944,178006.0,2,2,2,8,8,0.375,0.8125,0.5,0.625,0.1538,0.1538,0.1538,0.6154,0.0
london,Crofton,subdivision,2,1,1,64.6,63.0,66.2,0.0,4299.0,0,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0
london,Crouch End,subdivision,11,5,9,206.6,137.1,320.75,0.184,207046.0,3,3,5,3,2,0.1818,0.8182,0.1818,0.4545,0.3333,0.3333,0.5556,0.3333,0.0
london,Crystal Palace,subdivision,17,8,9,60.4,0.0,107.525,0.0583,26558.0,1,1,1,3,3,0.1176,0.5294,0.1765,0.4706,0.1111,0.1111,0.1111,0.3333,0.0
london,Custom House,subdivision,2,2,1,169.75,121.075,218.425,0.1165,43170.0,1,1,1,0,1,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0
london,Cyprus,subdivision,4,1,3,191.5,191.5,191.5,0.489,46524.0,1,1,1,2,0,0.0,0.75,0.0,0.25,0.3333,0.3333,0.3333,0.6667,0.0
london,Dagenham,subdivision,10,9,5,138.65,48.0,231.15,0.0678,56985.0,1,1,1,1,3,0.0,0.5,0.3,0.9,0.2,0.2,0.2,0.2,0.0
london,Dalston,subdivision,35,18,26,180.95,106.6,300.35,0.1333,444023.0,3,5,8,14,9,0.0286,0.7429,0.2571,0.5143,0.1154,0.1923,0.3077,0.5385,0.0
london,Dartmouth Park,subdivision,6,2,5,409.3,325.95,492.65,0.2555,97839.0,1,1,1,4,0,0.0,0.8333,0.0,0.3333,0.2,0.2,0.2,0.8,0.0
london,Deptford,subdivision,26,21,19,139.8,79.65,204.45,0.1139,253847.0,4,6,6,6,7,0.0769,0.7308,0.2692,0.8077,0.2105,0.3158,0.3158,0.3158,0.0
london,Dollis Hill,subdivision,44,31,23,103.25,77.2,152.65,0.0552,244593.0,5,7,9,9,22,0.1591,0.5227,0.5,0.7045,0.2174,0.3043,0.3913,0.3913,0.0
london,Downham,subdivision,7,3,4,97.95,48.875,130.0,0.0482,9878.0,0,0,0,1,0,0.0,0.5714,0.0,0.4286,0.0,0.0,0.0,0.25,0.0
london,Dulwich,subdivision,2,1,1,161.4,139.25,183.55,0.0,4131.0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
london,Dulwich Village,subdivision,12,8,8,180.8,94.35,283.375,0.0933,73914.0,1,1,1,2,3,0.0833,0.6667,0.25,0.6667,0.125,0.125,0.125,0.25,0.0
london,Earl's Court,subdivision,168,102,145,245.15,159.1,382.575,0.105,2257045.0,23,35,43,74,102,0.3571,0.8631,0.6071,0.6071,0.1586,0.2414,0.2966,0.5103,0.2292
london,Earlsfield,subdivision,22,16,13,145.0,97.9,423.325,0.1321,347327.0,4,4,5,3,3,0.1364,0.5909,0.1364,0.7273,0.3077,0.3077,0.3846,0.2308,0.0714
london,East Dulwich,subdivision,24,15,16,173.5,115.2,244.4,0.1516,163830.0,2,2,3,6,4,0.0,0.6667,0.1667,0.625,0.125,0.125,0.1875,0.375,0.0
london,East Greenwich,subdivision,35,22,25,180.25,90.95,258.425,0.0268,235925.0,2,6,7,14,7,0.0857,0.7143,0.2,0.6286,0.08,0.24,0.28,0.56,0.0
london,East Ham,subdivision,6,4,0,74.1,63.7,82.075,0.111,32312.0,0,0,0,0,0,0.0,0.0,0.0,0.6667,,,,,0.0
london,East Marylebone,subdivision,20,15,20,506.4,374.4,791.05,0.1489,1334277.0,7,7,13,6,12,0.2,1.0,0.6,0.75,0.35,0.35,0.65,0.3,0.2222
london,East Sheen,subdivision,13,6,9,123.0,53.5,158.65,0.2016,113109.0,2,3,3,6,2,0.0,0.6923,0.1538,0.4615,0.2222,0.3333,0.3333,0.6667,0.0
london,East Wickham,subdivision,1,1,1,170.9,170.9,170.9,0.522,49083.0,1,1,1,0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
london,Eastcote,subdivision,3,0,1,59.9,59.9,59.9,0.0,0.0,0,0,0,1,0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,1.0,
london,Eastcote Village,subdivision,1,0,0,,,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
london,Eden Park,subdivision,1,1,1,222.4,222.4,222.4,0.0,0.0,0,0,0,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
london,Edmonton,subdivision,7,5,3,93.0,77.4,119.4,0.2407,83301.0,3,3,3,0,0,0.0,0.4286,0.0,0.7143,1.0,1.0,1.0,0.0,0.0
london,Elder Farm,subdivision,1,0,0,,,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
london,Elephant and Castle,subdivision,92,63,60,174.4,104.775,302.65,0.202,1940766.0,19,22,25,21,33,0.0978,0.6522,0.3587,0.6848,0.3167,0.3667,0.4167,0.35,0.0196
london,Elm Park,subdivision,7,5,2,152.3,96.3,156.2,0.0422,21787.0,0,0,0,0,2,0.0,0.2857,0.2857,0.7143,0.0,0.0,0.0,0.0,0.0
london,Elmers End,subdivision,3,2,3,143.35,134.675,152.025,0.1225,44208.0,2,2,2,1,0,0.0,1.0,0.0,0.6667,0.6667,0.6667,0.6667,0.3333,0.0
london,Elmstead,subdivision,3,2,1,123.2,88.9,157.5,0.178,7185.0,0,0,0,0,1,0.0,0.3333,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0
london,Enfield Island Village,subdivision,2,1,1,150.4,150.4,150.4,0.0,0.0,0,0,0,1,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,
london,Enfield Lock,subdivision,3,2,2,206.7,184.85,228.55,0.0665,8152.0,0,0,1,0,0,0.0,0.6667,0.0,0.6667,0.0,0.0,0.5,0.0,0.0
london,Enfield Wash,subdivision,2,0,0,,,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
london,Fairlop,subdivision,2,1,1,36.4,36.4,36.4,0.011,71.0,0,0,0,1,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0
london,Falconwood,subdivision,1,1,1,265.7,265.7,265.7,0.022,12705.0,0,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
london,Fallow Corner,subdivision,3,3,2,322.0,176.2,447.95,0.0333,40241.0,0,0,2,0,2,0.0,0.6667,0.6667,1.0,0.0,0.0,1.0,0.0,0.0
london,Feltham,subdivision,10,4,4,190.4,129.05,244.075,0.0472,18056.0,0,0,1,2,3,0.0,0.4,0.3,0.4,0.0,0.0,0.25,0.5,0.0
london,Finchley,subdivision,14,10,10,110.5,73.8,185.45,0.0202,52963.0,1,1,2,2,5,0.3571,0.7143,0.3571,0.7143,0.1,0.1,0.2,0.2,0.0
